9/16/2022 10:38 AM CommandAcquisChA  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":6,"READ_MODE":4,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":3,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}

9/16/2022 10:38 AM CommandSyncBox  TX=CDELAY 0m

9/16/2022 10:38 AM ResponseSyncBox  RX=OK

9/16/2022 10:38 AM CommandSyncBox  TX=DDELAY 0m

9/16/2022 10:38 AM ResponseSyncBox  RX=OK

9/16/2022 10:38 AM CommandSyncBox  TX=AWIDTH 200m

9/16/2022 10:38 AM ResponseSyncBox  RX=OK

9/16/2022 10:38 AM CommandSyncBox  TX=BWIDTH 200m

9/16/2022 10:38 AM ResponseSyncBox  RX=OK

9/16/2022 10:38 AM CommandSyncBox  TX=CWIDTH 200m

9/16/2022 10:38 AM ResponseSyncBox  RX=OK

9/16/2022 10:38 AM CommandSyncBox  TX=DWIDTH 200m

9/16/2022 10:38 AM ResponseSyncBox  RX=OK

9/16/2022 10:38 AM CommandSyncBox  TX=aset on

9/16/2022 10:38 AM ResponseSyncBox  RX=OK

9/16/2022 10:38 AM CommandSyncBox  TX=bset on

9/16/2022 10:38 AM ResponseSyncBox  RX=OK

9/16/2022 10:38 AM CommandSyncBox  TX=cset on

9/16/2022 10:38 AM ResponseSyncBox  RX=OK

9/16/2022 10:38 AM CommandSyncBox  TX=dset on

9/16/2022 10:38 AM ResponseSyncBox  RX=OK

9/16/2022 10:38 AM CommandSyncBox  TX=IN

9/16/2022 10:38 AM ResponseSyncBox  RX=OK

9/16/2022 10:39 AM CommandAcquisChA  TX=READ_SETUP 
9/16/2022 10:39 AM CommandAcquisChB  TX=READ_SETUP 
9/16/2022 10:39 AM CommandAcquisChC  TX=READ_SETUP 
9/16/2022 10:39 AM CommandAcquisChD  TX=READ_SETUP 
9/16/2022 10:39 AM ResponseAcquisChD  RX=CCD_SETUP {"PREAMP":0,"READOUT_RATE":0,"EM_GAIN":2,"VBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"TRIGGER_MODE":0,"HBIN":1,"SHUTTER_TTL":0,"SHUTTER_MODE":2,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VERTICAL_SHIFT_SPEED":3,"READ_MODE":4,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"ACQUISITION_MODE":3,"AD_CHANNEL":0,"EM_MODE":1}
9/16/2022 10:39 AM CommandAcquisChD  TX=SET COOLER_POWER_STATUS 0
9/16/2022 10:39 AM ResponseAcquisChD  RX=DONE
9/16/2022 10:39 AM CommandAcquisChA  TX=SET COOLER_POWER_STATUS 0
9/16/2022 10:39 AM CommandAcquisChB  TX=SET COOLER_POWER_STATUS 0
9/16/2022 10:39 AM CommandAcquisChC  TX=SET COOLER_POWER_STATUS 0
9/16/2022 10:39 AM CommandInstrument  TX=S4ICS WPROT NONE NONE,WPSEL GOTO L/4,GMIR NONE NONE,GFOC NONE NONE,CALW NONE NONE,ASEL NONE NONE

9/16/2022 10:39 AM ResponseInstrument  RX=WPROT SIMULATED NONE 0 NONE -1, WPSEL SIMULATED BUSY 50 HOME 0, ASEL SIMULATED NONE 0 NONE -1, CALW SIMULATED NONE 0 NONE -1, GFOC SIMULATED NONE 0 NONE -1, GMIR SIMULATED NONE 0 NONE -1

9/16/2022 10:39 AM CommandInstrument  TX=S4ICS WPROT INIT NONE,WPSEL NONE NONE,GMIR NONE NONE,GFOC NONE NONE,CALW NONE NONE,ASEL NONE NONE

9/16/2022 10:39 AM ResponseInstrument  RX=WPROT SIMULATED BUSY 0 NONE -1, WPSEL SIMULATED READY 100 L/4 3, ASEL SIMULATED NONE 0 NONE -1, CALW SIMULATED NONE 0 NONE -1, GFOC SIMULATED NONE 0 NONE -1, GMIR SIMULATED NONE 0 NONE -1

9/16/2022 10:40 AM CommandInstrument  TX=S4ICS WPROT GOTO WP7,WPSEL NONE NONE,GMIR NONE NONE,GFOC NONE NONE,CALW NONE NONE,ASEL NONE NONE

9/16/2022 10:40 AM ResponseInstrument  RX=WPROT SIMULATED BUSY 0 HOME 0, WPSEL SIMULATED READY 100 L/4 3, ASEL SIMULATED NONE 0 NONE -1, CALW SIMULATED NONE 0 NONE -1, GFOC SIMULATED NONE 0 NONE -1, GMIR SIMULATED NONE 0 NONE -1

9/16/2022 10:40 AM CommandInstrument  TX=S4ICS WPROT NONE NONE,WPSEL NONE NONE,GMIR NONE NONE,GFOC NONE NONE,CALW INIT NONE,ASEL NONE NONE

9/16/2022 10:40 AM ResponseInstrument  RX=WPROT SIMULATED READY 135 WP7 7, WPSEL SIMULATED READY 100 L/4 3, ASEL SIMULATED NONE 0 NONE -1, CALW SIMULATED BUSY 0 NONE -1, GFOC SIMULATED NONE 0 NONE -1, GMIR SIMULATED NONE 0 NONE -1

9/16/2022 10:40 AM CommandInstrument  TX=S4ICS WPROT NONE NONE,WPSEL NONE NONE,GMIR INIT NONE,GFOC NONE NONE,CALW NONE NONE,ASEL NONE NONE

9/16/2022 10:40 AM ResponseInstrument  RX=WPROT SIMULATED READY 135 WP7 7, WPSEL SIMULATED READY 100 L/4 3, ASEL SIMULATED NONE 0 NONE -1, CALW SIMULATED BUSY 0 NONE -1, GFOC SIMULATED NONE 0 NONE -1, GMIR SIMULATED BUSY 0 NONE -1

9/16/2022 10:45 AM CommandInstrument  TX=S4ICS WPROT NONE NONE,WPSEL NONE NONE,GMIR NONE NONE,GFOC NONE NONE,CALW NONE NONE,ASEL INIT NONE

9/16/2022 10:45 AM ResponseInstrument  RX=WPROT SIMULATED READY 135 WP7 7, WPSEL SIMULATED READY 100 L/4 3, ASEL SIMULATED BUSY 0 NONE -1, CALW SIMULATED READY 0 HOME 0, GFOC SIMULATED NONE 0 NONE -1, GMIR SIMULATED READY 0 HOME 0

9/16/2022 10:45 AM CommandInstrument  TX=S4ICS WPROT NONE NONE,WPSEL NONE NONE,GMIR NONE NONE,GFOC INIT NONE,CALW NONE NONE,ASEL NONE NONE

9/16/2022 10:45 AM ResponseInstrument  RX=WPROT SIMULATED READY 135 WP7 7, WPSEL SIMULATED READY 100 L/4 3, ASEL SIMULATED READY 0 HOME 0, CALW SIMULATED READY 0 HOME 0, GFOC SIMULATED BUSY 0 NONE -1, GMIR SIMULATED READY 0 HOME 0

9/16/2022 10:46 AM CommandInstrument  TX=S4ICS WPROT NONE NONE,WPSEL GOTO L/2,GMIR NONE NONE,GFOC NONE NONE,CALW GOTO POLARIZER,ASEL GOTO ANALYZER

9/16/2022 10:46 AM ResponseInstrument  RX=WPROT SIMULATED READY 135 WP7 7, WPSEL SIMULATED BUSY 100 L/4 3, ASEL SIMULATED BUSY 0 HOME 0, CALW SIMULATED BUSY 0 HOME 0, GFOC SIMULATED READY 0 HOME 0, GMIR SIMULATED READY 0 HOME 0

