8/22/2022 3:54 PM CommandAcquisChA  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":6,"READ_MODE":4,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":3,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}
8/22/2022 3:55 PM CommandAcquisChD  TX=READ_SETUP 
8/22/2022 3:55 PM ResponseAcquisChD  RX=CCD_SETUP {"PREAMP":0,"READOUT_RATE":0,"EM_GAIN":2,"VBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"TRIGGER_MODE":6,"HBIN":1,"SHUTTER_TTL":0,"SHUTTER_MODE":2,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VERTICAL_SHIFT_SPEED":3,"READ_MODE":0,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"ACQUISITION_MODE":3,"AD_CHANNEL":0,"EM_MODE":1}
8/22/2022 3:55 PM CommandAcquisChD  TX=SET COOLER_POWER_STATUS 0
8/22/2022 3:55 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:55 PM CommandAcquisChA  TX=SET COOLER_POWER_STATUS 0
8/22/2022 3:55 PM CommandAcquisChB  TX=SET COOLER_POWER_STATUS 0
8/22/2022 3:55 PM CommandAcquisChC  TX=SET COOLER_POWER_STATUS 0
8/22/2022 3:55 PM CommandAcquisChD  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":6,"READ_MODE":0,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":3,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}
8/22/2022 3:55 PM CommandAcquisChD  TX=READ_SETUP 
8/22/2022 3:55 PM ResponseAcquisChD  RX=CCD_SETUP {"PREAMP":0,"READOUT_RATE":0,"EM_GAIN":2,"VBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"TRIGGER_MODE":6,"HBIN":1,"SHUTTER_TTL":0,"SHUTTER_MODE":2,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VERTICAL_SHIFT_SPEED":3,"READ_MODE":0,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"ACQUISITION_MODE":3,"AD_CHANNEL":0,"EM_MODE":1}
8/22/2022 3:55 PM CommandAcquisChD  TX=SET COOLER_POWER_STATUS 0
8/22/2022 3:55 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:55 PM CommandAcquisChD  TX=SET EXPTIME 0.000010
8/22/2022 3:55 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:55 PM CommandAcquisChD  TX=SET #FRAMES 5.000000
8/22/2022 3:55 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:55 PM CommandAcquisChD  TX=SET #CUBES 1.0000 
8/22/2022 3:55 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:55 PM CommandAcquisChD  TX=SET SUFFIX ZERO
8/22/2022 3:55 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:55 PM CommandAcquisChD  TX=SET OBSTYPE ZERO
8/22/2022 3:55 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:55 PM CommandSyncBox  TX=ADELAY 1000m

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:55 PM CommandSyncBox  TX=BDELAY 1500m

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:55 PM CommandSyncBox  TX=CDELAY 2000m

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:55 PM CommandSyncBox  TX=DDELAY 2500m

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:55 PM CommandSyncBox  TX=AWIDTH 200m

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:55 PM CommandSyncBox  TX=BWIDTH 200m

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:55 PM CommandSyncBox  TX=CWIDTH 200m

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:55 PM CommandSyncBox  TX=DWIDTH 200m

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:55 PM CommandSyncBox  TX=aset on

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:55 PM CommandSyncBox  TX=bset on

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:55 PM CommandSyncBox  TX=cset on

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:55 PM CommandSyncBox  TX=dset on

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:55 PM CommandSyncBox  TX=IN

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:55 PM CommandSyncBox  TX=TRigger REmote

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:55 PM CommandSyncBox  TX=IN

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:55 PM CommandSyncBox  TX=TRigger

8/22/2022 3:55 PM ResponseSyncBox  RX=Trig   REM  50R  Level 1.250   Div   0,000,000,000  SYN 00,010,000.00

8/22/2022 3:55 PM CommandSyncBox  TX=FIre

8/22/2022 3:55 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandAcquisChD  TX=SET EXPTIME 0.000010
8/22/2022 3:56 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:56 PM CommandAcquisChD  TX=SET #FRAMES 5.000000
8/22/2022 3:56 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:56 PM CommandAcquisChD  TX=SET #CUBES 1.0000 
8/22/2022 3:56 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:56 PM CommandAcquisChD  TX=SET SUFFIX ZERO
8/22/2022 3:56 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:56 PM CommandAcquisChD  TX=SET OBSTYPE ZERO
8/22/2022 3:56 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:56 PM CommandSyncBox  TX=ADELAY 1000m

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandSyncBox  TX=BDELAY 1500m

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandSyncBox  TX=CDELAY 2000m

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandSyncBox  TX=DDELAY 2500m

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandSyncBox  TX=AWIDTH 200m

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandSyncBox  TX=BWIDTH 200m

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandSyncBox  TX=CWIDTH 200m

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandSyncBox  TX=DWIDTH 200m

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandSyncBox  TX=aset on

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandSyncBox  TX=bset on

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandSyncBox  TX=cset on

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandSyncBox  TX=dset on

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandSyncBox  TX=IN

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandSyncBox  TX=TRigger REmote

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandSyncBox  TX=IN

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:56 PM CommandSyncBox  TX=TRigger

8/22/2022 3:56 PM ResponseSyncBox  RX=Trig   REM  50R  Level 1.250   Div   0,000,000,000  SYN 00,010,000.00

8/22/2022 3:56 PM CommandSyncBox  TX=FIre

8/22/2022 3:56 PM ResponseSyncBox  RX=OK

8/22/2022 3:57 PM CommandAcquisChD  TX=SET EXPTIME 0.000010
8/22/2022 3:57 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:57 PM CommandAcquisChD  TX=SET #FRAMES 5.000000
8/22/2022 3:57 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:57 PM CommandAcquisChD  TX=SET #CUBES 1.0000 
8/22/2022 3:57 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:57 PM CommandAcquisChD  TX=SET SUFFIX ZERO
8/22/2022 3:57 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:57 PM CommandAcquisChD  TX=SET OBSTYPE ZERO
8/22/2022 3:57 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:57 PM CommandSyncBox  TX=ADELAY 1000m

8/22/2022 3:57 PM ResponseSyncBox  RX=OK

8/22/2022 3:57 PM CommandSyncBox  TX=BDELAY 1500m

8/22/2022 3:57 PM ResponseSyncBox  RX=OK

8/22/2022 3:57 PM CommandSyncBox  TX=CDELAY 2000m

8/22/2022 3:57 PM ResponseSyncBox  RX=OK

8/22/2022 3:57 PM CommandSyncBox  TX=DDELAY 2500m

8/22/2022 3:57 PM ResponseSyncBox  RX=OK

8/22/2022 3:57 PM CommandSyncBox  TX=AWIDTH 200m

8/22/2022 3:57 PM ResponseSyncBox  RX=OK

8/22/2022 3:57 PM CommandSyncBox  TX=BWIDTH 200m

8/22/2022 3:57 PM ResponseSyncBox  RX=OK

8/22/2022 3:57 PM CommandSyncBox  TX=CWIDTH 200m

8/22/2022 3:57 PM ResponseSyncBox  RX=OK

8/22/2022 3:58 PM CommandSyncBox  TX=DWIDTH 200m

8/22/2022 3:58 PM ResponseSyncBox  RX=OK

8/22/2022 3:58 PM CommandSyncBox  TX=aset on

8/22/2022 3:58 PM ResponseSyncBox  RX=OK

8/22/2022 3:58 PM CommandSyncBox  TX=bset on

8/22/2022 3:58 PM ResponseSyncBox  RX=OK

8/22/2022 3:58 PM CommandSyncBox  TX=cset on

8/22/2022 3:58 PM ResponseSyncBox  RX=OK

8/22/2022 3:58 PM CommandSyncBox  TX=dset on

8/22/2022 3:58 PM ResponseSyncBox  RX=OK

8/22/2022 3:58 PM CommandSyncBox  TX=IN

8/22/2022 3:58 PM ResponseSyncBox  RX=OK

8/22/2022 3:58 PM CommandAcquisChD  TX=EXPOSE
8/22/2022 3:58 PM CommandSyncBox  TX=FIre

8/22/2022 3:58 PM ResponseSyncBox  RX=

     Highland Technology  Model T560  Digital Delay Generator

Firmware 28E560-D  02407                Cal date July 19, 2018      

Trig   REM  50R  Level 1.250   Div   0,000,000,000  SYN 00,010,000.00
Gate   OFF  POS  HIZ           Shots 0,000,000,214
Burst  OFF  N  0,000,000,016   of M  0,000,000,064

Verbos ON   Autoinstall FEOD   Usec 3,213,282,845  DPLL 00012
Clock  OUT  Trim 02166         Temp +49.1

Errs   None

Ch A  POS  ON     Dly  01.000,000,000,000  Wid  00.200,000,000,000
Ch B  POS  ON     Dly  01.500,000,000,000  Wid  00.200,000,000,000
Ch C  POS  ON     Dly  02.000,000,000,000  Wid  00.200,000,000,000
Ch D  POS  ON     Dly  02.500,000,000,000  Wid  00.200,000,000,000



8/22/2022 3:58 PM ResponseSyncBox  RX=OK

8/22/2022 3:58 PM CommandSyncBox  TX=FIre

8/22/2022 3:58 PM ResponseSyncBox  RX=OK

8/22/2022 3:58 PM CommandSyncBox  TX=TRigger REmote

8/22/2022 3:58 PM ResponseSyncBox  RX=

     Highland Technology  Model T560  Digital Delay Generator

Firmware 28E560-D  02407                Cal date July 19, 2018      

Trig   REM  50R  Level 1.250   Div   0,000,000,000  SYN 00,010,000.00
Gate   OFF  POS  HIZ           Shots 0,000,000,216
Burst  OFF  N  0,000,000,016   of M  0,000,000,064

Verbos ON   Autoinstall FEOD   Usec 3,242,026,551  DPLL 00011
Clock  OUT  Trim 02166         Temp +48.9

Errs   None

Ch A  POS  ON     Dly  01.000,000,000,000  Wid  00.200,000,000,000
Ch B  POS  ON     Dly  01.500,000,000,000  Wid  00.200,000,000,000
Ch C  POS  ON     Dly  02.000,000,000,000  Wid  00.200,000,000,000
Ch D  POS  ON     Dly  02.500,000,000,000  Wid  00.200,000,000,000



8/22/2022 3:58 PM ResponseSyncBox  RX=OK

8/22/2022 3:58 PM CommandSyncBox  TX=IN

8/22/2022 3:58 PM ResponseSyncBox  RX=OK

8/22/2022 3:58 PM CommandSyncBox  TX=TRigger

8/22/2022 3:58 PM ResponseSyncBox  RX=Trig   REM  50R  Level 1.250   Div   0,000,000,000  SYN 00,010,000.00

8/22/2022 3:58 PM CommandSyncBox  TX=FIre

8/22/2022 3:58 PM ResponseSyncBox  RX=OK

8/22/2022 3:58 PM CommandInstrument  TX=S4ICS WPROT STOP NONE,WPSEL NONE NONE,GMIR NONE NONE,GFOC NONE NONE,CALW NONE NONE,ASEL NONE NONE

8/22/2022 3:58 PM ResponseInstrument  RX=WPSEL SIMULATED BUSY 80 OFF 1, WPROT SIMULATED ACK 30 HOME 0, CALW SIMULATED READY 0.0 OFF 1, ASEL SIMULATED READY 0.0 OFF 1, GMIR SIMULATED READY 0.0 HOME 0, GFOC SIMULATED READY 0.0 HOME 0

8/22/2022 3:59 PM CommandAcquisChD  TX=SET EXPTIME 0.000010
8/22/2022 3:59 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:59 PM CommandAcquisChD  TX=SET #FRAMES 5.000000
8/22/2022 3:59 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:59 PM CommandAcquisChD  TX=SET #CUBES 1.0000 
8/22/2022 3:59 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:59 PM CommandAcquisChD  TX=SET SUFFIX ZERO
8/22/2022 3:59 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:59 PM CommandAcquisChD  TX=SET OBSTYPE ZERO
8/22/2022 3:59 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:59 PM CommandSyncBox  TX=ADELAY 1000m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=BDELAY 1500m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=CDELAY 2000m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=DDELAY 2500m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=AWIDTH 200m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=BWIDTH 200m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=CWIDTH 200m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=DWIDTH 200m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=aset on

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=bset on

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=cset on

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=dset on

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=IN

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=TRigger REmote

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=IN

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=TRigger

8/22/2022 3:59 PM ResponseSyncBox  RX=Trig   REM  50R  Level 1.250   Div   0,000,000,000  SYN 00,010,000.00

8/22/2022 3:59 PM CommandSyncBox  TX=FIre

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandAcquisChD  TX=SET EXPTIME 1.000000
8/22/2022 3:59 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:59 PM CommandAcquisChD  TX=SET #FRAMES 5.000000
8/22/2022 3:59 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:59 PM CommandAcquisChD  TX=SET #CUBES 1.0000 
8/22/2022 3:59 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:59 PM CommandAcquisChD  TX=SET SUFFIX DARK
8/22/2022 3:59 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:59 PM CommandAcquisChD  TX=SET OBSTYPE DARK
8/22/2022 3:59 PM ResponseAcquisChD  RX=DONE
8/22/2022 3:59 PM CommandSyncBox  TX=ADELAY 1000m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=BDELAY 1500m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=CDELAY 2000m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=DDELAY 2500m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=AWIDTH 200m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=BWIDTH 200m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=CWIDTH 200m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=DWIDTH 200m

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=aset on

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=bset on

8/22/2022 3:59 PM ResponseSyncBox  RX=OK

8/22/2022 3:59 PM CommandSyncBox  TX=cset on

8/22/2022 4:00 PM ResponseSyncBox  RX=OK

8/22/2022 4:00 PM CommandSyncBox  TX=dset on

8/22/2022 4:00 PM ResponseSyncBox  RX=OK

8/22/2022 4:00 PM CommandSyncBox  TX=IN

8/22/2022 4:00 PM ResponseSyncBox  RX=OK

8/22/2022 4:00 PM CommandAcquisChD  TX=EXPOSE
8/22/2022 4:00 PM CommandInstrument  TX=S4ICS WPROT STOP NONE,WPSEL NONE NONE,GMIR NONE NONE,GFOC NONE NONE,CALW NONE NONE,ASEL NONE NONE

8/22/2022 4:00 PM ResponseInstrument  RX=WPSEL SIMULATED BUSY 80 OFF 1, WPROT SIMULATED ACK 30 HOME 0, CALW SIMULATED READY 0.0 OFF 1, ASEL SIMULATED READY 0.0 OFF 1, GMIR SIMULATED READY 0.0 HOME 0, GFOC SIMULATED READY 0.0 HOME 0

8/22/2022 4:01 PM CommandAcquisChD  TX=SET EXPTIME 0.500000
8/22/2022 4:01 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:01 PM CommandAcquisChD  TX=SET #FRAMES 5.000000
8/22/2022 4:01 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:01 PM CommandAcquisChD  TX=SET #CUBES 1.0000 
8/22/2022 4:01 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:01 PM CommandAcquisChD  TX=SET SUFFIX DARK
8/22/2022 4:01 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:01 PM CommandAcquisChD  TX=SET OBSTYPE DARK
8/22/2022 4:01 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:01 PM CommandSyncBox  TX=ADELAY 1000m

8/22/2022 4:01 PM ResponseSyncBox  RX=

     Highland Technology  Model T560  Digital Delay Generator

Firmware 28E560-D  02407                Cal date July 19, 2018      

Trig   REM  50R  Level 1.250   Div   0,000,000,000  SYN 00,010,000.00
Gate   OFF  POS  HIZ           Shots 0,000,000,218
Burst  OFF  N  0,000,000,016   of M  0,000,000,064

Verbos ON   Autoinstall FEOD   Usec 3,399,437,085  DPLL 00011
Clock  OUT  Trim 02166         Temp +49.1

Errs   None

Ch A  POS  ON     Dly  01.000,000,000,000  Wid  00.200,000,000,000
Ch B  POS  ON     Dly  01.500,000,000,000  Wid  00.200,000,000,000
Ch C  POS  ON     Dly  02.000,000,000,000  Wid  00.200,000,000,000
Ch D  POS  ON     Dly  02.500,000,000,000  Wid  00.200,000,000,000



8/22/2022 4:01 PM ResponseSyncBox  RX=OK

8/22/2022 4:01 PM CommandSyncBox  TX=BDELAY 1500m

8/22/2022 4:01 PM ResponseSyncBox  RX=OK

8/22/2022 4:01 PM CommandSyncBox  TX=CDELAY 2000m

8/22/2022 4:01 PM ResponseSyncBox  RX=OK

8/22/2022 4:01 PM CommandSyncBox  TX=DDELAY 2500m

8/22/2022 4:01 PM ResponseSyncBox  RX=OK

8/22/2022 4:01 PM CommandSyncBox  TX=AWIDTH 200m

8/22/2022 4:01 PM ResponseSyncBox  RX=OK

8/22/2022 4:01 PM CommandSyncBox  TX=BWIDTH 200m

8/22/2022 4:01 PM ResponseSyncBox  RX=OK

8/22/2022 4:01 PM CommandSyncBox  TX=CWIDTH 200m

8/22/2022 4:01 PM ResponseSyncBox  RX=OK

8/22/2022 4:01 PM CommandSyncBox  TX=DWIDTH 200m

8/22/2022 4:01 PM ResponseSyncBox  RX=OK

8/22/2022 4:01 PM CommandSyncBox  TX=aset on

8/22/2022 4:01 PM ResponseSyncBox  RX=OK

8/22/2022 4:01 PM CommandSyncBox  TX=bset on

8/22/2022 4:01 PM ResponseSyncBox  RX=OK

8/22/2022 4:01 PM CommandSyncBox  TX=cset on

8/22/2022 4:01 PM ResponseSyncBox  RX=OK

8/22/2022 4:01 PM CommandSyncBox  TX=dset on

8/22/2022 4:01 PM ResponseSyncBox  RX=OK

